Seed Keyword,Suggested Keyword,Search Intent,Wildcard / Query Pattern,Pattern Type,Search Depth,Parent Suggestion,Country (GL),Language (HL),Rank Position,Timestamp
"Heart symbols","heart symbol history","General","Heart symbols h","Alphabet Suffix (h)","Level 1","","IN","EN",4,"2026-09-16T09:52:49.557Z"
"Heart symbols","heart symbol hollow","General","Heart symbols h","Alphabet Suffix (h)","Level 1","","IN","EN",15,"2026-09-16T09:52:49.557Z"
"Heart symbols","heart symbol homestuck","General","Heart symbols h","Alphabet Suffix (h)","Level 1","","IN","EN",11,"2026-09-16T09:52:49.557Z"
"Heart symbols","heart symbol html","General","Heart symbols h","Alphabet Suffix (h)","Level 1","","IN","EN",1,"2026-09-16T09:52:49.557Z"
"Heart symbols","heart symbol html code","General","Heart symbols h","Alphabet Suffix (h)","Level 1","","IN","EN",5,"2026-09-16T09:52:49.557Z"
"Heart symbols","heart symbol human","General","Heart symbols h","Alphabet Suffix (h)","Level 1","","IN","EN",7,"2026-09-16T09:52:49.557Z"
"Heart symbols","heart symbol i can copy","General","can Heart symbols","Question Starter (can)","Level 1","","IN","EN",2,"2026-09-16T09:54:30.275Z"
"Heart symbols","heart symbol icon","General","Heart symbols i","Alphabet Suffix (i)","Level 1","","IN","EN",10,"2026-09-16T09:52:51.154Z"
"Heart symbols","heart symbol images dp","General","Heart symbols i","Alphabet Suffix (i)","Level 1","","IN","EN",11,"2026-09-16T09:52:51.154Z"
"Heart symbols","heart symbol in excel","General","Heart symbols i","Alphabet Suffix (i)","Level 1","","IN","EN",13,"2026-09-16T09:52:51.154Z"
"Heart symbols","heart symbol in font","General","Heart symbols in","Modifier Suffix (in)","Level 1","","IN","EN",15,"2026-09-16T09:54:40.535Z"
"Heart symbols","heart symbol in g pay","General","g Heart symbols","Alphabet Prefix (g)","Level 1","","IN","EN",4,"2026-09-16T09:53:27.656Z"
"Heart symbols","heart symbol in google pay","General","Heart symbols in","Modifier Suffix (in)","Level 1","","IN","EN",12,"2026-09-16T09:54:40.535Z"
"Heart symbols","heart symbol in gpay","General","Heart symbols i","Alphabet Suffix (i)","Level 1","","IN","EN",8,"2026-09-16T09:52:51.154Z"
"Heart symbols","heart symbol in hand","General","Heart symbols i","Alphabet Suffix (i)","Level 1","","IN","EN",12,"2026-09-16T09:52:51.154Z"
"Heart symbols","heart symbol in html","General","Heart symbols i","Alphabet Suffix (i)","Level 1","","IN","EN",6,"2026-09-16T09:52:51.154Z"
"Heart symbols","heart symbol in japanese","General","Heart symbols in","Modifier Suffix (in)","Level 1","","IN","EN",13,"2026-09-16T09:54:40.535Z"
"Heart symbols","heart symbol in java","General","Heart symbols j","Alphabet Suffix (j)","Level 1","","IN","EN",8,"2026-09-16T09:52:52.509Z"
"Heart symbols","heart symbol in javascript","General","Heart symbols j","Alphabet Suffix (j)","Level 1","","IN","EN",10,"2026-09-16T09:52:52.509Z"
"Heart symbols","heart symbol in korea","General","Heart symbols k","Alphabet Suffix (k)","Level 1","","IN","EN",10,"2026-09-16T09:52:53.867Z"
"Heart symbols","heart symbol in korean","General","Heart symbols in","Modifier Suffix (in)","Level 1","","IN","EN",14,"2026-09-16T09:54:40.535Z"
"Heart symbols","heart symbol in outlook","General","Heart symbols in","Modifier Suffix (in)","Level 1","","IN","EN",11,"2026-09-16T09:54:40.535Z"
"Heart symbols","heart symbol in vs code","Commercial","Heart symbols vs","Modifier Suffix (vs)","Level 1","","IN","EN",5,"2026-09-16T09:54:38.308Z"
"Heart symbols","heart symbol in word","General","Heart symbols i","Alphabet Suffix (i)","Level 1","","IN","EN",7,"2026-09-16T09:52:51.154Z"
"Heart symbols","heart symbol in word wingdings","General","Heart symbols i","Alphabet Suffix (i)","Level 1","","IN","EN",15,"2026-09-16T09:52:51.154Z"
"Heart symbols","heart symbol instagram","General","* Heart symbols","Wildcard Prefix (*)","Level 1","","IN","EN",5,"2026-09-16T09:52:30.289Z"
"Heart symbols","heart symbol instagram story","General","Heart symbols i","Alphabet Suffix (i)","Level 1","","IN","EN",14,"2026-09-16T09:52:51.154Z"
"Heart symbols","heart symbol iphone","General","Heart symbols i","Alphabet Suffix (i)","Level 1","","IN","EN",9,"2026-09-16T09:52:51.154Z"
"Heart symbols","heart symbol j","General","Heart symbols j","Alphabet Suffix (j)","Level 1","","IN","EN",7,"2026-09-16T09:52:52.509Z"
"Heart symbols","heart symbol japanese","General","Heart symbols j","Alphabet Suffix (j)","Level 1","","IN","EN",2,"2026-09-16T09:52:52.509Z"
"Heart symbols","heart symbol japanese keyboard","General","Heart symbols j","Alphabet Suffix (j)","Level 1","","IN","EN",3,"2026-09-16T09:52:52.509Z"
"Heart symbols","heart symbol jesus","General","Heart symbols j","Alphabet Suffix (j)","Level 1","","IN","EN",5,"2026-09-16T09:52:52.509Z"
"Heart symbols","heart symbol jewelry","General","Heart symbols j","Alphabet Suffix (j)","Level 1","","IN","EN",4,"2026-09-16T09:52:52.509Z"
"Heart symbols","heart symbol jpg","General","Heart symbols j","Alphabet Suffix (j)","Level 1","","IN","EN",1,"2026-09-16T09:52:52.509Z"
"Heart symbols","heart symbol ka matlab","General","Heart symbols k","Alphabet Suffix (k)","Level 1","","IN","EN",11,"2026-09-16T09:52:53.867Z"
"Heart symbols","heart symbol kannada meaning","Informational","Heart symbols k","Alphabet Suffix (k)","Level 1","","IN","EN",12,"2026-09-16T09:52:53.867Z"
"Heart symbols","heart symbol kcd2","General","Heart symbols k","Alphabet Suffix (k)","Level 1","","IN","EN",9,"2026-09-16T09:52:53.867Z"
"Heart symbols","heart symbol key","General","Heart symbols k","Alphabet Suffix (k)","Level 1","","IN","EN",7,"2026-09-16T09:52:53.867Z"
"Heart symbols","heart symbol keyboard code","General","Heart symbols k","Alphabet Suffix (k)","Level 1","","IN","EN",6,"2026-09-16T09:52:53.867Z"
"Heart symbols","heart symbol keyboard copy and paste","General","Heart symbols k","Alphabet Suffix (k)","Level 1","","IN","EN",14,"2026-09-16T09:52:53.867Z"
"Heart symbols","heart symbol keyboard shortcut","General","Heart symbols k","Alphabet Suffix (k)","Level 1","","IN","EN",4,"2026-09-16T09:52:53.867Z"
"Heart symbols","heart symbol keychain","General","Heart symbols k","Alphabet Suffix (k)","Level 1","","IN","EN",8,"2026-09-16T09:52:53.867Z"
"Heart symbols","heart symbol keypad","General","Heart symbols k","Alphabet Suffix (k)","Level 1","","IN","EN",15,"2026-09-16T09:52:53.867Z"
"Heart symbols","heart symbol korean","General","* Heart symbols","Wildcard Prefix (*)","Level 1","","IN","EN",9,"2026-09-16T09:52:30.289Z"
"Heart symbols","heart symbol kpop","General","Heart symbols k","Alphabet Suffix (k)","Level 1","","IN","EN",13,"2026-09-16T09:52:53.867Z"
"Heart symbols","heart symbol laptop keyboard","General","Heart symbols l","Alphabet Suffix (l)","Level 1","","IN","EN",10,"2026-09-16T09:52:55.778Z"
"Heart symbols","heart symbol large","General","Heart symbols l","Alphabet Suffix (l)","Level 1","","IN","EN",12,"2026-09-16T09:52:55.778Z"
"Heart symbols","heart symbol latex","General","Heart symbols l","Alphabet Suffix (l)","Level 1","","IN","EN",8,"2026-09-16T09:52:55.778Z"
"Heart symbols","heart symbol letter","General","Heart symbols l","Alphabet Suffix (l)","Level 1","","IN","EN",6,"2026-09-16T09:52:55.778Z"
"Heart symbols","heart symbol license plate","Transactional","Heart symbols l","Alphabet Suffix (l)","Level 1","","IN","EN",11,"2026-09-16T09:52:55.778Z"
"Heart symbols","heart symbol like","General","Heart symbols l","Alphabet Suffix (l)","Level 1","","IN","EN",15,"2026-09-16T09:52:55.778Z"
"Heart symbols","heart symbol line","General","Heart symbols l","Alphabet Suffix (l)","Level 1","","IN","EN",4,"2026-09-16T09:52:55.778Z"
"Heart symbols","heart symbol line art","General","Heart symbols l","Alphabet Suffix (l)","Level 1","","IN","EN",7,"2026-09-16T09:52:55.778Z"
"Heart symbols","heart symbol little","General","* Heart symbols","Wildcard Prefix (*)","Level 1","","IN","EN",13,"2026-09-16T09:52:30.289Z"
"Heart symbols","heart symbol locket","General","Heart symbols l","Alphabet Suffix (l)","Level 1","","IN","EN",5,"2026-09-16T09:52:55.778Z"
"Heart symbols","heart symbol locket gold","General","Heart symbols l","Alphabet Suffix (l)","Level 1","","IN","EN",3,"2026-09-16T09:52:55.778Z"
"Heart symbols","heart symbol logo","General","Heart symbols l","Alphabet Suffix (l)","Level 1","","IN","EN",1,"2026-09-16T09:52:55.778Z"
"Heart symbols","heart symbol logo text","General","Heart symbols l","Alphabet Suffix (l)","Level 1","","IN","EN",13,"2026-09-16T09:52:55.778Z"
"Heart symbols","heart symbol love","General","* Heart symbols","Wildcard Prefix (*)","Level 1","","IN","EN",10,"2026-09-16T09:52:30.289Z"
"Heart symbols","heart symbol love png","General","Heart symbols l","Alphabet Suffix (l)","Level 1","","IN","EN",14,"2026-09-16T09:52:55.778Z"
"Heart symbols","heart symbol meaning","Informational","Heart symbols vs","Modifier Suffix (vs)","Level 1","","IN","EN",2,"2026-09-16T09:54:38.308Z"
"Heart symbols","heart symbol meaning in english","Informational","Heart symbols m","Alphabet Suffix (m)","Level 1","","IN","EN",4,"2026-09-16T09:52:57.914Z"
"Heart symbols","heart symbol meaning in hindi","Informational","Heart symbols m","Alphabet Suffix (m)","Level 1","","IN","EN",2,"2026-09-16T09:52:57.914Z"
"Heart symbols","heart symbol meaning in life","Informational","Heart symbols m","Alphabet Suffix (m)","Level 1","","IN","EN",15,"2026-09-16T09:52:57.914Z"
"Heart symbols","heart symbol meaning in marathi","Informational","Heart symbols m","Alphabet Suffix (m)","Level 1","","IN","EN",12,"2026-09-16T09:52:57.914Z"
"Heart symbols","heart symbol meaning in tamil","Informational","Heart symbols m","Alphabet Suffix (m)","Level 1","","IN","EN",7,"2026-09-16T09:52:57.914Z"
"Heart symbols","heart symbol meaning in text","Informational","Heart symbols m","Alphabet Suffix (m)","Level 1","","IN","EN",6,"2026-09-16T09:52:57.914Z"
"Heart symbols","heart symbol meaning malayalam","Informational","Heart symbols m","Alphabet Suffix (m)","Level 1","","IN","EN",13,"2026-09-16T09:52:57.914Z"
"Heart symbols","heart symbol meanings in whatsapp","General","Heart symbols m","Alphabet Suffix (m)","Level 1","","IN","EN",5,"2026-09-16T09:52:57.914Z"
"Heart symbols","heart symbol medical","General","Heart symbols m","Alphabet Suffix (m)","Level 1","","IN","EN",11,"2026-09-16T09:52:57.914Z"
"Heart symbols","heart symbol mehndi","General","Heart symbols m","Alphabet Suffix (m)","Level 1","","IN","EN",8,"2026-09-16T09:52:57.914Z"
"Heart symbols","heart symbol mehndi design","General","Heart symbols m","Alphabet Suffix (m)","Level 1","","IN","EN",3,"2026-09-16T09:52:57.914Z"
"Heart symbols","heart symbol minecraft","General","Heart symbols m","Alphabet Suffix (m)","Level 1","","IN","EN",10,"2026-09-16T09:52:57.914Z"
"Heart symbols","heart symbol mobile","General","Heart symbols m","Alphabet Suffix (m)","Level 1","","IN","EN",14,"2026-09-16T09:52:57.914Z"
"Heart symbols","heart symbol n","General","Heart symbols n","Alphabet Suffix (n)","Level 1","","IN","EN",14,"2026-09-16T09:52:59.460Z"
"Heart symbols","heart symbol name style","General","Heart symbols n","Alphabet Suffix (n)","Level 1","","IN","EN",3,"2026-09-16T09:52:59.460Z"
"Heart symbols","heart symbol names","General","Heart symbols n","Alphabet Suffix (n)","Level 1","","IN","EN",1,"2026-09-16T09:52:59.460Z"
"Heart symbols","heart symbol near time iphone","General","Heart symbols n","Alphabet Suffix (n)","Level 1","","IN","EN",5,"2026-09-16T09:52:59.460Z"
"Heart symbols","heart symbol new","General","Heart symbols n","Alphabet Suffix (n)","Level 1","","IN","EN",10,"2026-09-16T09:52:59.460Z"
"Heart symbols","heart symbol next to instagram story","General","Heart symbols n","Alphabet Suffix (n)","Level 1","","IN","EN",11,"2026-09-16T09:52:59.460Z"
"Heart symbols","heart symbol next to name hinge","General","Heart symbols n","Alphabet Suffix (n)","Level 1","","IN","EN",9,"2026-09-16T09:52:59.460Z"
"Heart symbols","heart symbol next to time on iphone","General","Heart symbols n","Alphabet Suffix (n)","Level 1","","IN","EN",12,"2026-09-16T09:52:59.460Z"
"Heart symbols","heart symbol nickfinder","General","Heart symbols n","Alphabet Suffix (n)","Level 1","","IN","EN",4,"2026-09-16T09:52:59.460Z"
"Heart symbols","heart symbol nickname","General","Heart symbols n","Alphabet Suffix (n)","Level 1","","IN","EN",2,"2026-09-16T09:52:59.460Z"
"Heart symbols","heart symbol nintendo switch","General","Heart symbols n","Alphabet Suffix (n)","Level 1","","IN","EN",13,"2026-09-16T09:52:59.460Z"
"Heart symbols","heart symbol no background","General","Heart symbols n","Alphabet Suffix (n)","Level 1","","IN","EN",8,"2026-09-16T09:52:59.460Z"
"Heart symbols","heart symbol normal","General","Heart symbols n","Alphabet Suffix (n)","Level 1","","IN","EN",15,"2026-09-16T09:52:59.460Z"
"Heart symbols","heart symbol not emoji","General","Heart symbols n","Alphabet Suffix (n)","Level 1","","IN","EN",6,"2026-09-16T09:52:59.460Z"
"Heart symbols","heart symbol number","General","Heart symbols n","Alphabet Suffix (n)","Level 1","","IN","EN",7,"2026-09-16T09:52:59.460Z"
"Heart symbols","heart symbol on battery icon windows 11","General","Heart symbols o","Alphabet Suffix (o)","Level 1","","IN","EN",14,"2026-09-16T09:53:02.943Z"
"Heart symbols","heart symbol on blood pressure monitor","General","Heart symbols o","Alphabet Suffix (o)","Level 1","","IN","EN",9,"2026-09-16T09:53:02.943Z"
"Heart symbols","heart symbol on driver's license","Transactional","Heart symbols o","Alphabet Suffix (o)","Level 1","","IN","EN",10,"2026-09-16T09:53:02.943Z"
"Heart symbols","heart symbol on instagram story","General","Heart symbols o","Alphabet Suffix (o)","Level 1","","IN","EN",8,"2026-09-16T09:53:02.943Z"
"Heart symbols","heart symbol on mac","General","Heart symbols o","Alphabet Suffix (o)","Level 1","","IN","EN",13,"2026-09-16T09:53:02.943Z"
"Heart symbols","heart symbol on qwerty keyboard","General","Heart symbols q","Alphabet Suffix (q)","Level 1","","IN","EN",3,"2026-09-16T09:53:06.200Z"
"Heart symbols","heart symbol on word","General","Heart symbols o","Alphabet Suffix (o)","Level 1","","IN","EN",11,"2026-09-16T09:53:02.943Z"
"Heart symbols","heart symbol origin","General","Heart symbols o","Alphabet Suffix (o)","Level 1","","IN","EN",7,"2026-09-16T09:53:02.943Z"
"Heart symbols","heart symbol origin buttocks","General","Heart symbols *","Wildcard Suffix (*)","Level 1","","IN","EN",4,"2026-09-16T09:52:31.536Z"
"Heart symbols","heart symbol outline images","General","Heart symbols o","Alphabet Suffix (o)","Level 1","","IN","EN",12,"2026-09-16T09:53:02.943Z"
"Heart symbols","heart symbol outlook","General","Heart symbols o","Alphabet Suffix (o)","Level 1","","IN","EN",15,"2026-09-16T09:53:02.943Z"
"Heart symbols","heart symbol pc","General","Heart symbols p","Alphabet Suffix (p)","Level 1","","IN","EN",7,"2026-09-16T09:53:04.930Z"
"Heart symbols","heart symbol photo frames","General","Heart symbols p","Alphabet Suffix (p)","Level 1","","IN","EN",11,"2026-09-16T09:53:04.930Z"
"Heart symbols","heart symbol photos love","General","Heart symbols p","Alphabet Suffix (p)","Level 1","","IN","EN",10,"2026-09-16T09:53:04.930Z"
"Heart symbols","heart symbol photoshop","General","Heart symbols p","Alphabet Suffix (p)","Level 1","","IN","EN",12,"2026-09-16T09:53:04.930Z"
"Heart symbols","heart symbol pillow","General","Heart symbols p","Alphabet Suffix (p)","Level 1","","IN","EN",8,"2026-09-16T09:53:04.930Z"
"Heart symbols","heart symbol pillow images","General","Heart symbols p","Alphabet Suffix (p)","Level 1","","IN","EN",6,"2026-09-16T09:53:04.930Z"
"Heart symbols","heart symbol pinterest","General","Heart symbols p","Alphabet Suffix (p)","Level 1","","IN","EN",13,"2026-09-16T09:53:04.930Z"
"Heart symbols","heart symbol png free","General","Heart symbols free","Modifier Suffix (free)","Level 1","","IN","EN",10,"2026-09-16T09:54:49.939Z"
"Heart symbols","heart symbol png free download","General","Heart symbols free","Modifier Suffix (free)","Level 1","","IN","EN",6,"2026-09-16T09:54:49.939Z"
"Heart symbols","heart symbol png hd","General","Heart symbols p","Alphabet Suffix (p)","Level 1","","IN","EN",9,"2026-09-16T09:53:04.930Z"
"Heart symbols","heart symbol png images","General","Heart symbols p","Alphabet Suffix (p)","Level 1","","IN","EN",15,"2026-09-16T09:53:04.930Z"
"Heart symbols","heart symbol pubg","General","Heart symbols p","Alphabet Suffix (p)","Level 1","","IN","EN",14,"2026-09-16T09:53:04.930Z"
"Heart symbols","heart symbol qr code","General","Heart symbols q","Alphabet Suffix (q)","Level 1","","IN","EN",2,"2026-09-16T09:53:06.200Z"
"Heart symbols","heart symbol quotes","General","Heart symbols q","Alphabet Suffix (q)","Level 1","","IN","EN",1,"2026-09-16T09:53:06.200Z"
"Heart symbols","heart symbol rainbow","General","Heart symbols r","Alphabet Suffix (r)","Level 1","","IN","EN",13,"2026-09-16T09:53:07.670Z"
"Heart symbols","heart symbol real","General","Heart symbols r","Alphabet Suffix (r)","Level 1","","IN","EN",3,"2026-09-16T09:53:07.670Z"
"Heart symbols","heart symbol real meaning","Informational","Heart symbols r","Alphabet Suffix (r)","Level 1","","IN","EN",10,"2026-09-16T09:53:07.670Z"
"Heart symbols","heart symbol realistic","General","Heart symbols r","Alphabet Suffix (r)","Level 1","","IN","EN",8,"2026-09-16T09:53:07.670Z"
"Heart symbols","heart symbol red","General","Heart symbols r","Alphabet Suffix (r)","Level 1","","IN","EN",1,"2026-09-16T09:53:07.670Z"
"Heart symbols","heart symbol red colour","General","Heart symbols r","Alphabet Suffix (r)","Level 1","","IN","EN",4,"2026-09-16T09:53:07.670Z"
"Heart symbols","heart symbol reddit","General","Heart symbols r","Alphabet Suffix (r)","Level 1","","IN","EN",15,"2026-09-16T09:53:07.670Z"
"Heart symbols","heart symbol reiki","General","Heart symbols r","Alphabet Suffix (r)","Level 1","","IN","EN",7,"2026-09-16T09:53:07.670Z"
"Heart symbols","heart symbol religion","General","Heart symbols r","Alphabet Suffix (r)","Level 1","","IN","EN",14,"2026-09-16T09:53:07.670Z"
"Heart symbols","heart symbol religious","General","Heart symbols r","Alphabet Suffix (r)","Level 1","","IN","EN",11,"2026-09-16T09:53:07.670Z"
"Heart symbols","heart symbol represents","General","Heart symbols r","Alphabet Suffix (r)","Level 1","","IN","EN",6,"2026-09-16T09:53:07.670Z"
"Heart symbols","heart symbol right","General","Heart symbols r","Alphabet Suffix (r)","Level 1","","IN","EN",12,"2026-09-16T09:53:07.670Z"
"Heart symbols","heart symbol ring","General","Heart symbols r","Alphabet Suffix (r)","Level 1","","IN","EN",2,"2026-09-16T09:53:07.670Z"
"Heart symbols","heart symbol ring gold","General","Heart symbols r","Alphabet Suffix (r)","Level 1","","IN","EN",5,"2026-09-16T09:53:07.670Z"
"Heart symbols","heart symbol roblox","General","Heart symbols r","Alphabet Suffix (r)","Level 1","","IN","EN",9,"2026-09-16T09:53:07.670Z"
"Heart symbols","heart symbol s","General","Heart symbols s","Alphabet Suffix (s)","Level 1","","IN","EN",14,"2026-09-16T09:53:08.784Z"
"Heart symbols","heart symbol samsung","General","Heart symbols s","Alphabet Suffix (s)","Level 1","","IN","EN",15,"2026-09-16T09:53:08.784Z"
"Heart symbols","heart symbol shape","General","* Heart symbols","Wildcard Prefix (*)","Level 1","","IN","EN",12,"2026-09-16T09:52:30.289Z"
"Heart symbols","heart symbol shortcut","General","Heart symbols s","Alphabet Suffix (s)","Level 1","","IN","EN",10,"2026-09-16T09:53:08.784Z"
"Heart symbols","heart symbol shortcut key","General","Heart symbols s","Alphabet Suffix (s)","Level 1","","IN","EN",5,"2026-09-16T09:53:08.784Z"
"Heart symbols","heart symbol sideways","General","Heart symbols s","Alphabet Suffix (s)","Level 1","","IN","EN",8,"2026-09-16T09:53:08.784Z"
"Heart symbols","heart symbol snapchat","General","Heart symbols s","Alphabet Suffix (s)","Level 1","","IN","EN",7,"2026-09-16T09:53:08.784Z"
"Heart symbols","heart symbol special character","General","Heart symbols s","Alphabet Suffix (s)","Level 1","","IN","EN",12,"2026-09-16T09:53:08.784Z"
"Heart symbols","heart symbol spiritual meaning","Informational","Heart symbols s","Alphabet Suffix (s)","Level 1","","IN","EN",13,"2026-09-16T09:53:08.784Z"
"Heart symbols","heart symbol steam","General","Heart symbols s","Alphabet Suffix (s)","Level 1","","IN","EN",11,"2026-09-16T09:53:08.784Z"
"Heart symbols","heart symbol style","General","Heart symbols s","Alphabet Suffix (s)","Level 1","","IN","EN",6,"2026-09-16T09:53:08.784Z"
"Heart symbols","heart symbol stylish","General","Heart symbols *","Wildcard Suffix (*)","Level 1","","IN","EN",9,"2026-09-16T09:52:31.536Z"
"Heart symbols","heart symbol stylish name","General","Heart symbols s","Alphabet Suffix (s)","Level 1","","IN","EN",4,"2026-09-16T09:53:08.784Z"
"Heart symbols","heart symbol svg","General","Heart symbols s","Alphabet Suffix (s)","Level 1","","IN","EN",9,"2026-09-16T09:53:08.784Z"
"Heart symbols","heart symbol svg free","General","Heart symbols free","Modifier Suffix (free)","Level 1","","IN","EN",12,"2026-09-16T09:54:49.939Z"
"Heart symbols","heart symbol t shirt","General","t Heart symbols","Alphabet Prefix (t)","Level 1","","IN","EN",2,"2026-09-16T09:53:43.317Z"
"Heart symbols","heart symbol tattoo","General","Heart symbols t","Alphabet Suffix (t)","Level 1","","IN","EN",10,"2026-09-16T09:53:09.866Z"
"Heart symbols","heart symbol text 3","General","Heart symbols t","Alphabet Suffix (t)","Level 1","","IN","EN",13,"2026-09-16T09:53:09.866Z"
"Heart symbols","heart symbol text copy","General","* Heart symbols","Wildcard Prefix (*)","Level 1","","IN","EN",1,"2026-09-16T09:52:30.289Z"
"Heart symbols","heart symbol text copy big","General","* Heart symbols","Wildcard Prefix (*)","Level 1","","IN","EN",14,"2026-09-16T09:52:30.289Z"
"Heart symbols","heart symbol text copy small","General","Heart symbols t","Alphabet Suffix (t)","Level 1","","IN","EN",12,"2026-09-16T09:53:09.866Z"
"Heart symbols","heart symbol text keyboard","General","Heart symbols t","Alphabet Suffix (t)","Level 1","","IN","EN",14,"2026-09-16T09:53:09.866Z"
"Heart symbols","heart symbol text to copy","General","Heart symbols to","Modifier Suffix (to)","Level 1","","IN","EN",13,"2026-09-16T09:54:39.395Z"
"Heart symbols","heart symbol to paste","General","Heart symbols to","Modifier Suffix (to)","Level 1","","IN","EN",4,"2026-09-16T09:54:39.395Z"
"Heart symbols","heart symbol to text","General","Heart symbols to","Modifier Suffix (to)","Level 1","","IN","EN",5,"2026-09-16T09:54:39.395Z"
"Heart symbols","heart symbol to type","General","Heart symbols to","Modifier Suffix (to)","Level 1","","IN","EN",3,"2026-09-16T09:54:39.395Z"
"Heart symbols","heart symbol top","Commercial","Heart symbols top","Modifier Suffix (top)","Level 1","","IN","EN",1,"2026-09-16T09:54:45.074Z"
"Heart symbols","heart symbol transparent","General","Heart symbols t","Alphabet Suffix (t)","Level 1","","IN","EN",11,"2026-09-16T09:53:09.866Z"
"Heart symbols","heart symbol transparent background","General","Heart symbols t","Alphabet Suffix (t)","Level 1","","IN","EN",15,"2026-09-16T09:53:09.866Z"
"Heart symbols","heart symbol type","General","* Heart symbols","Wildcard Prefix (*)","Level 1","","IN","EN",7,"2026-09-16T09:52:30.289Z"
"Heart symbols","heart symbol umamusume","General","Heart symbols u","Alphabet Suffix (u)","Level 1","","IN","EN",15,"2026-09-16T09:53:11.159Z"
"Heart symbols","heart symbol undertale","General","Heart symbols u","Alphabet Suffix (u)","Level 1","","IN","EN",12,"2026-09-16T09:53:11.159Z"
"Heart symbols","heart symbol unique designs","General","Heart symbols u","Alphabet Suffix (u)","Level 1","","IN","EN",10,"2026-09-16T09:53:11.159Z"
"Heart symbols","heart symbol upside down","General","Heart symbols u","Alphabet Suffix (u)","Level 1","","IN","EN",4,"2026-09-16T09:53:11.159Z"
"Heart symbols","heart symbol username","General","Heart symbols u","Alphabet Suffix (u)","Level 1","","IN","EN",5,"2026-09-16T09:53:11.159Z"
"Heart symbols","heart symbol using 3","General","Heart symbols u","Alphabet Suffix (u)","Level 1","","IN","EN",13,"2026-09-16T09:53:11.159Z"
"Heart symbols","heart symbol using fingers","General","Heart symbols u","Alphabet Suffix (u)","Level 1","","IN","EN",6,"2026-09-16T09:53:11.159Z"
"Heart symbols","heart symbol using hands","General","Heart symbols u","Alphabet Suffix (u)","Level 1","","IN","EN",7,"2026-09-16T09:53:11.159Z"
"Heart symbols","heart symbol using keyboard","General","Heart symbols u","Alphabet Suffix (u)","Level 1","","IN","EN",3,"2026-09-16T09:53:11.159Z"
"Heart symbols","heart symbol using letters","General","Heart symbols u","Alphabet Suffix (u)","Level 1","","IN","EN",14,"2026-09-16T09:53:11.159Z"
"Heart symbols","heart symbol using text","General","Heart symbols u","Alphabet Suffix (u)","Level 1","","IN","EN",11,"2026-09-16T09:53:11.159Z"
"Heart symbols","heart symbol utf","General","Heart symbols u","Alphabet Suffix (u)","Level 1","","IN","EN",9,"2026-09-16T09:53:11.159Z"
"Heart symbols","heart symbol utf 8","General","Heart symbols u","Alphabet Suffix (u)","Level 1","","IN","EN",8,"2026-09-16T09:53:11.159Z"
"Heart symbols","heart symbol v","General","Heart symbols v","Alphabet Suffix (v)","Level 1","","IN","EN",15,"2026-09-16T09:53:12.344Z"
"Heart symbols","heart symbol valentine's day","General","Heart symbols v","Alphabet Suffix (v)","Level 1","","IN","EN",11,"2026-09-16T09:53:12.344Z"
"Heart symbols","heart symbol valorant","General","Heart symbols v","Alphabet Suffix (v)","Level 1","","IN","EN",9,"2026-09-16T09:53:12.344Z"
"Heart symbols","heart symbol valorant name","General","Heart symbols v","Alphabet Suffix (v)","Level 1","","IN","EN",14,"2026-09-16T09:53:12.344Z"
"Heart symbols","heart symbol variations","General","Heart symbols v","Alphabet Suffix (v)","Level 1","","IN","EN",13,"2026-09-16T09:53:12.344Z"
"Heart symbols","heart symbol vector","General","Heart symbols v","Alphabet Suffix (v)","Level 1","","IN","EN",1,"2026-09-16T09:53:12.344Z"
"Heart symbols","heart symbol vector free","General","Heart symbols v","Alphabet Suffix (v)","Level 1","","IN","EN",2,"2026-09-16T09:53:12.344Z"
"Heart symbols","heart symbol vector png","General","Heart symbols v","Alphabet Suffix (v)","Level 1","","IN","EN",10,"2026-09-16T09:53:12.344Z"
"Heart symbols","heart symbol video download","General","Heart symbols v","Alphabet Suffix (v)","Level 1","","IN","EN",3,"2026-09-16T09:53:12.344Z"
"Heart symbols","heart symbol video editing","General","Heart symbols v","Alphabet Suffix (v)","Level 1","","IN","EN",12,"2026-09-16T09:53:12.344Z"
"Heart symbols","heart symbol vrchat","General","Heart symbols v","Alphabet Suffix (v)","Level 1","","IN","EN",4,"2026-09-16T09:53:12.344Z"
"Heart symbols","heart symbol vs real heart","Commercial","Heart symbols v","Alphabet Suffix (v)","Level 1","","IN","EN",6,"2026-09-16T09:53:12.344Z"
"Heart symbols","heart symbol whatsapp","General","Heart symbols w","Alphabet Suffix (w)","Level 1","","IN","EN",15,"2026-09-16T09:53:14.192Z"
"Heart symbols","heart symbol white","General","* Heart symbols","Wildcard Prefix (*)","Level 1","","IN","EN",6,"2026-09-16T09:52:30.289Z"
"Heart symbols","heart symbol wikipedia","General","Heart symbols w","Alphabet Suffix (w)","Level 1","","IN","EN",12,"2026-09-16T09:53:14.192Z"
"Heart symbols","heart symbol windows","General","Heart symbols w","Alphabet Suffix (w)","Level 1","","IN","EN",14,"2026-09-16T09:53:14.192Z"
"Heart symbols","heart symbol windows 11","General","Heart symbols 1","Number Suffix (1)","Level 1","","IN","EN",2,"2026-09-16T09:53:55.980Z"
